0,1,2,3,4,5
1632276367421,71.3,24.47,6.5,22,9.25293
1632276374517,64.8,24.47,6.285714,21,19.286133
1632276381607,66.8,24.47,6.28,25,6.1435547
1632276388670,74.9,24.47,6.5,20,6.7021484
1632276395740,75.0,24.47,6.5,20,6.774414
1632276402828,68.0,24.47,6.3333335,21,9.053711
1632276409927,72.5,24.47,6.28,25,7.091797
1632276417032,74.9,24.47,6.5238094,21,6.2001953
1632276424129,67.3,24.47,6.76,25,18.549805
1632276431202,68.2,24.47,6.322581,31,6.640625
1632276438252,74.6,24.47,1380.0,16,6.291992
1632276445310,67.8,24.47,6.347826,23,6.201172
1632276452365,67.8,24.47,6.25,20,7.834961
1632276459441,74.2,24.47,6.347826,23,18.538086
1632276466502,69.5,24.47,6.3636365,22,7.446289
1632276473596,67.5,24.47,1380.0,24,5.926758
1632276480704,73.6,24.47,6.2413793,29,8.12207
1632276487756,72.1,24.47,6.3333335,30,7.819336
1632276494832,65.5,24.47,6.15625,32,6.1416016
1632276501903,72.0,24.44,6.235294,17,5.5947266
1632276508964,74.4,24.47,6.36,25,19.749023
1632276516033,68.7,24.47,6.2580643,31,5.7509766
1632276523119,67.8,24.47,6.35,20,8.041016
1632276530190,71.6,24.47,6.470588,17,5.0927734
1632276537240,68.7,24.47,7.3448277,29,7.5820312
1632276544326,64.7,24.47,6.4117646,17,17.259766
1632276551415,75.5,24.47,6.714286,21,5.2509766
1632276558475,73.4,24.47,6.1666665,24,6.1572266
1632276565561,65.3,24.47,6.347826,23,6.321289
1632276572642,65.8,24.44,6.2727275,22,7.709961
1632276579750,67.3,24.44,6.3636365,22,19.387695
1632276586821,72.5,24.44,6.535714,28,7.540039
1632276593883,67.2,24.47,6.392857,28,17.327148
1632276600951,68.8,24.44,6.3157897,19,6.567383
1632276608046,67.0,24.47,6.4615383,13,7.760742
1632276615130,74.1,24.47,6.5714283,21,6.5253906
1632276622230,73.3,24.47,7.3333335,27,7.973633
1632276629304,70.0,24.47,6.76,25,17.59082
1632276636367,69.0,24.47,6.35,20,5.8095703
1632276643464,70.3,24.44,6.4545455,22,7.3310547
1632276650521,78.3,24.44,6.2222223,18,6.5908203
1632276657581,71.6,24.47,6.1363635,22,6.2470703
1632276664688,64.5,24.47,6.3157897,19,20.908203
1632276671788,68.0,24.47,6.56,25,6.7646484
1632276678875,68.3,24.44,6.2258067,31,18.547852
1632276685952,70.4,24.47,6.1904764,21,5.7978516
1632276693037,68.2,24.47,6.28,25,6625.0
1632276700097,70.9,24.47,6.212121,33,6.584961
1632276707163,69.5,24.47,6.172414,29,6.3027344
1632276714237,70.3,24.47,6.285714,28,18.600586
1632276721307,67.8,24.47,6.8846154,26,7.145508
1632276728384,70.9,24.44,6.34375,32,7.2314453
1632276735449,77.0,24.47,6.28,25,6.370117
1632276742511,73.9,24.47,6.235294,17,7.5341797
1632276749571,67.3,24.47,6.25,24,17.651367
1632276756657,72.9,24.47,6.3333335,15,5.638672
1632276763719,69.8,24.47,6.2,15,7.3310547
1632276770809,67.3,24.47,6.1785717,28,5.8720703
1632276777886,75.5,24.47,6.3793106,29,11.8203125
1632276784958,74.9,24.47,6.2222223,27,7.209961
1632276792062,66.3,24.47,6.555556,27,7.479492
1632276799140,71.6,24.47,6.304348,23,18.335938
1632276806197,73.4,24.47,6.3076925,13,5.303711
1632276813272,64.3,24.47,6.3333335,24,5.8134766
1632276820330,66.5,24.47,6.4583335,24,7.3154297
1632276827392,73.9,24.44,6.269231,26,7.2060547
1632276834466,74.0,24.47,6.4761906,21,18.15918
1632276841526,63.8,24.47,3380.0,32,5.3623047
1632276848603,69.2,24.44,6.230769,13,6.1396484
1632276855670,76.5,24.44,6.269231,26,6.770508
1632276862740,66.0,24.47,6.423077,26,8.111328
1632276869808,66.7,24.49,6.259259,27,20.143555
1632276876888,69.8,24.47,6.2916665,24,6.776367
1632276883951,77.3,24.47,6.3214283,28,18.725586
1632276891014,68.0,24.47,6.25,24,5.8095703
1632276898125,64.3,24.47,6.681818,22,9.517578
1632276905192,74.5,24.49,6.909091,22,6.260742
1632276912254,73.2,24.47,6.5,34,7.4384766
1632276919318,64.9,24.47,6.4615383,13,20.026367
1632276926477,73.5,24.47,6.5517244,29,6.6464844
1632276933533,72.5,24.47,6.275862,29,5.694336
1632276940613,64.1,24.47,6.318182,22,6.6416016
1632276947680,69.7,24.47,6.2608695,23,9.786133
1632276954744,76.1,24.47,6.3333335,21,17.323242
1632276961820,68.5,24.47,6.4117646,17,6.2470703
1632276968893,72.1,24.47,6.3333335,21,19.94043
1632276975951,73.0,24.47,6.090909,22,6.709961
1632276983017,73.7,24.47,6.24,25,7.223633
1632276990119,68.0,24.47,6.25,20,7.4501953
1632276997211,68.5,24.47,6.35,20,7.225586
1632277004289,70.5,24.49,6.1904764,21,20.703125
1632277011351,69.0,24.47,6.2,25,6.645508
1632277018411,67.0,24.47,6.4,20,8.685547
1632277025506,69.7,24.47,6.1538463,26,6.1396484
1632277032570,68.0,24.47,6.2580643,31,8.041992
1632277039648,74.4,24.47,6.1875,16,18.40625
1632277046718,78.0,24.47,6.2173915,23,6.3740234
1632277053782,65.7,24.49,6.263158,19,5.6376953
1632277060880,67.0,24.47,6.318182,22,6.366211
1632277067960,76.0,24.47,6.2608695,23,8.157227
1632277075014,70.5,24.49,6.28,25,6.5322266
1632277082063,62.9,24.47,6.137931,29,7.607422
1632277089153,66.8,24.47,6.6,30,18.663086
1632277096223,77.6,24.49,6.15625,32,6.2001953
1632277103293,74.6,24.47,1130.0,16,5.557617
1632277110367,66.7,24.47,6.0384617,26,6.821289
1632277117449,66.2,24.49,6.0333333,30,7.5283203
1632277124540,74.8,24.47,6.095238,21,18.956055
1632277131600,73.6,24.47,6.117647,17,5.307617
1632277138683,69.7,24.47,7.4827585,29,8.912109
1632277145741,72.0,24.47,1130.0,16,5.4345703
1632277152807,72.6,24.47,6.1363635,22,7.4873047
1632277159896,75.1,24.47,6.173913,23,343.0713
1632277166977,74.9,24.49,1130.0,24,6.083008
1632277174038,65.5,24.47,6.0454545,22,18.15332
1632277181154,67.7,24.44,6.1363635,22,6.709961
1632277188243,74.4,24.47,6.1785717,28,9.383789
1632277195329,67.5,24.47,6.1785717,28,4.8583984
1632277202414,69.7,24.47,7.736842,19,7.5585938
1632277209471,72.6,24.47,6.1538463,13,19.020508
1632277216526,76.6,24.47,6.142857,21,6.432617
1632277223605,70.6,24.47,6.08,25,6.763672
1632277230686,63.5,24.47,6.12,25,5.926758
